customer_id,customer_segment,region,tenure_months,product_count,digital_logins_30d,app_sessions_change_pct,salary_inflow,salary_inflow_change_pct,avg_balance,balance_change_pct,direct_debits,complaint_count_90d,overdraft_usage_rate,card_spend_30d,open_banking_connected,churn_probability_simulated,churn_flag
C000001,Mass,South East,94,1,8,0.011,0,-0.159,677.82,-0.127,1,1,0.267,670.13,0,0.3775,0
C000002,SME owner,Wales,61,2,6,-0.063,0,-0.395,469.8,-0.132,1,0,0.685,117.32,0,0.3775,1
C000003,Mass,Yorkshire,63,2,8,0.088,1,0.13,325.92,-0.097,4,0,0.194,361.16,0,0.0871,0
C000004,Mass,North West,28,2,3,-0.182,1,-0.013,122.8,-0.075,3,0,0.164,351.78,1,0.1091,0
C000005,Mass,Scotland,120,4,6,-0.624,0,-0.118,497.05,-0.221,3,0,0.321,293.5,0,0.19,1
C000006,Mass,London,2,1,11,-0.135,0,-0.269,1457.81,0.407,0,0,0.42,395.0,0,0.4626,0
C000007,Student,London,58,1,11,0.01,1,0.205,504.81,-0.071,10,0,0.152,311.02,0,0.1419,0
C000008,Mass,Yorkshire,69,1,9,-0.308,1,0.128,542.58,0.282,5,0,0.261,488.96,0,0.2315,0
C000009,Mass,Scotland,33,4,9,0.193,1,-0.021,1670.02,0.243,10,0,0.098,183.41,0,0.0794,0
C000010,Young professional,South East,59,1,6,-0.022,1,0.4,3187.21,0.321,6,0,0.253,540.56,1,0.1419,0
C000011,Mass,West Midlands,119,3,10,-0.092,0,0.157,42.31,-0.276,1,0,0.29,283.39,0,0.1545,0
C000012,Affluent,Scotland,81,3,12,0.477,0,-0.129,1176.98,-0.072,1,0,0.095,155.35,0,0.1545,0
C000013,SME owner,Scotland,37,1,16,-0.093,0,-0.026,876.15,-0.053,4,0,0.278,267.79,1,0.2405,0
C000014,Student,West Midlands,94,2,9,-0.237,1,-0.178,818.22,0.041,3,0,0.198,87.71,0,0.0871,0
C000015,Mass,North West,32,2,13,-0.161,0,-0.623,75.21,0.266,4,1,0.415,154.25,0,0.4875,0
C000016,Young professional,Scotland,58,4,6,-0.253,1,-0.166,316.14,-0.351,2,0,0.105,195.81,0,0.19,0
C000017,Affluent,London,67,1,12,0.035,1,0.314,2301.84,0.182,5,0,0.239,16.73,0,0.1419,0
C000018,Affluent,Yorkshire,6,1,16,-0.099,1,0.01,402.9,0.222,4,0,0.237,90.26,0,0.1751,0
C000019,Mass,Yorkshire,17,3,7,-0.157,0,-0.323,196.57,-0.068,2,0,0.167,534.37,0,0.3318,1
C000020,Affluent,Yorkshire,57,2,10,-0.176,1,-0.319,2375.45,-0.209,1,0,0.017,547.47,0,0.168,1
C000021,Student,South East,112,3,13,-0.233,1,-0.279,130.75,0.215,4,0,0.144,36.52,0,0.168,1
C000022,Affluent,Wales,76,4,10,0.111,1,-0.323,2081.56,0.045,4,0,0.088,496.81,0,0.1246,0
